* [https://www.spinics.net/lists/linux-leds/msg12752.html][PATCH] leds: leds-max77650: Add of_node_put() before return, Nishka Dasgupta
+ [https://www.spinics.net/lists/linux-leds/msg12767.html]Re: [PATCH] leds: leds-max77650: Add of_node_put() before return, Bartosz Golaszewski
o [https://www.spinics.net/lists/linux-leds/msg12768.html]Re: [PATCH] leds: leds-max77650: Add of_node_put() before return, Nishka Dasgupta
* [https://www.spinics.net/lists/linux-leds/msg12751.html][PATCH] leds: leds-ns2: Add of_node_put() before return, Nishka Dasgupta
+ [https://www.spinics.net/lists/linux-leds/msg12795.html]Re: [PATCH] leds: leds-ns2: Add of_node_put() before return, Jacek Anaszewski
* [https://www.spinics.net/lists/linux-leds/msg12741.html][PATCH 0/2] leds: Add control of the voltage/current regulator to the LED core, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12742.html][PATCH 1/2] leds: Add control of the voltage/current regulator to the LED core, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12776.html]Re: [PATCH 1/2] leds: Add control of the voltage/current regulator to the LED core, Dan Murphy
# [https://www.spinics.net/lists/linux-leds/msg12777.html]Re: [PATCH 1/2] leds: Add control of the voltage/current regulator to the LED core, Jean-Jacques Hiblot
@ [https://www.spinics.net/lists/linux-leds/msg12778.html]Re: [PATCH 1/2] leds: Add control of the voltage/current regulator to the LED core, Daniel Thompson
- [https://www.spinics.net/lists/linux-leds/msg12779.html]Re: [PATCH 1/2] leds: Add control of the voltage/current regulator to the LED core, Jean-Jacques Hiblot
= [https://www.spinics.net/lists/linux-leds/msg12787.html]Re: [PATCH 1/2] leds: Add control of the voltage/current regulator to the LED core, Daniel Thompson
+ [https://www.spinics.net/lists/linux-leds/msg12743.html][PATCH 2/2] dt-bindings: leds: document new "power-supply" property, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12775.html]Re: [PATCH 2/2] dt-bindings: leds: document new "power-supply" property, Dan Murphy
* [https://www.spinics.net/lists/linux-leds/msg12736.html][PATCH v2 0/4] Add a generic driver for LED-based backlight, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12737.html][PATCH v2 4/4] backlight: add led-backlight driver, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12750.html]Re: [PATCH v2 4/4] backlight: add led-backlight driver, Daniel Thompson
+ [https://www.spinics.net/lists/linux-leds/msg12738.html][PATCH v2 1/4] leds: Add of_led_get() and led_put(), Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12739.html][PATCH v2 3/4] dt-bindings: backlight: Add led-backlight binding, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12744.html]Re: [PATCH v2 3/4] dt-bindings: backlight: Add led-backlight binding, Daniel Thompson
+ [https://www.spinics.net/lists/linux-leds/msg12740.html][PATCH v2 2/4] leds: Add managed API to get a LED from a device driver, Jean-Jacques Hiblot
* [https://www.spinics.net/lists/linux-leds/msg12733.html][PATCH v2 0/2] leds: tlc591xx: switch to OF and managed API, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12734.html][PATCH v2 1/2] leds: tlc591xx: simplify driver by using the managed led API, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12747.html]Re: [PATCH v2 1/2] leds: tlc591xx: simplify driver by using the managed led API, Dan Murphy
# [https://www.spinics.net/lists/linux-leds/msg12754.html]Re: [PATCH v2 1/2] leds: tlc591xx: simplify driver by using the managed led API, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12735.html][PATCH v2 2/2] leds: tlc591xx: Use the OF version of the LED registration function, Jean-Jacques Hiblot
* [https://www.spinics.net/lists/linux-leds/msg12730.html][PATCH 0/2] introduce LED block device activity trigger, Akinobu Mita
+ [https://www.spinics.net/lists/linux-leds/msg12731.html][PATCH 1/2] leds: move declaration of led_stop_software_blink() to linux/leds.h, Akinobu Mita
+ [https://www.spinics.net/lists/linux-leds/msg12732.html][PATCH 2/2] block: introduce LED block device activity trigger, Akinobu Mita
o [https://www.spinics.net/lists/linux-leds/msg12813.html]Re: [PATCH 2/2] block: introduce LED block device activity trigger, Jacek Anaszewski
# [https://www.spinics.net/lists/linux-leds/msg12826.html]Re: [PATCH 2/2] block: introduce LED block device activity trigger, Akinobu Mita
* [https://www.spinics.net/lists/linux-leds/msg12714.html][PATCH 0/8] treewide: correct misuses of strscpy/strlcpy, Joe Perches
+ [https://www.spinics.net/lists/linux-leds/msg12715.html][PATCH 2/8] leds: as3645a: Fix misuse of strlcpy, Joe Perches
o [https://www.spinics.net/lists/linux-leds/msg12716.html]Re: [PATCH 2/8] leds: as3645a: Fix misuse of strlcpy, Sakari Ailus
o [https://www.spinics.net/lists/linux-leds/msg12725.html]Re: [PATCH 2/8] leds: as3645a: Fix misuse of strlcpy, Pavel Machek
o [https://www.spinics.net/lists/linux-leds/msg12792.html]Re: [PATCH 2/8] leds: as3645a: Fix misuse of strlcpy, Jacek Anaszewski
* [https://www.spinics.net/lists/linux-leds/msg12708.html][PATCH] leds: max77650: add MODULE_ALIAS(), Bartosz Golaszewski
+ [https://www.spinics.net/lists/linux-leds/msg12713.html]Re: [PATCH] leds: max77650: add MODULE_ALIAS(), Pavel Machek
+ [https://www.spinics.net/lists/linux-leds/msg12791.html]Re: [PATCH] leds: max77650: add MODULE_ALIAS(), Jacek Anaszewski
* [https://www.spinics.net/lists/linux-leds/msg12698.html][PATCH v5 0/2] Multicolor Documentation update, Dan Murphy
+ [https://www.spinics.net/lists/linux-leds/msg12696.html][PATCH v5 1/2] leds: multicolor: Add sysfs interface definition, Dan Murphy
+ [https://www.spinics.net/lists/linux-leds/msg12697.html][PATCH v5 2/2] documention: leds: Add multicolor class documentation, Dan Murphy
o [https://www.spinics.net/lists/linux-leds/msg12803.html]Re: [PATCH v5 2/2] documention: leds: Add multicolor class documentation, Jacek Anaszewski
# [https://www.spinics.net/lists/linux-leds/msg12807.html]Re: [PATCH v5 2/2] documention: leds: Add multicolor class documentation, Dan Murphy
@ [https://www.spinics.net/lists/linux-leds/msg12812.html]Re: [PATCH v5 2/2] documention: leds: Add multicolor class documentation, Jacek Anaszewski
* [https://www.spinics.net/lists/linux-leds/msg12692.html][PATCH 0/2] leds: tlc591xx: switch to OF and managed API, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12690.html][PATCH 2/2] leds: tlc591xx: Use the OF version of the LED registration function, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12694.html]Re: [PATCH 2/2] leds: tlc591xx: Use the OF version of the LED registration function, Dan Murphy
o [https://www.spinics.net/lists/linux-leds/msg12726.html]Re: [PATCH 2/2] leds: tlc591xx: Use the OF version of the LED registration function, Pavel Machek
+ [https://www.spinics.net/lists/linux-leds/msg12691.html][PATCH 1/2] leds: tlc591xx: simplify driver by using the managed led API, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12693.html]Re: [PATCH 1/2] leds: tlc591xx: simplify driver by using the managed led API, Dan Murphy
o [https://www.spinics.net/lists/linux-leds/msg12721.html]Re: [PATCH 1/2] leds: tlc591xx: simplify driver by using the managed led API, Pavel Machek
* [https://www.spinics.net/lists/linux-leds/msg12688.html][PATCH 0/4] Add a generic driver for LED-based backlight, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12684.html][PATCH 4/4] devicetree: Add led-backlight binding, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12701.html]Re: [PATCH 4/4] devicetree: Add led-backlight binding, Daniel Thompson
# [https://www.spinics.net/lists/linux-leds/msg12703.html]Re: [PATCH 4/4] devicetree: Add led-backlight binding, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12719.html]Re: [PATCH 4/4] devicetree: Add led-backlight binding, Pavel Machek
+ [https://www.spinics.net/lists/linux-leds/msg12685.html][PATCH 3/4] backlight: add led-backlight driver, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12700.html]Re: [PATCH 3/4] backlight: add led-backlight driver, Daniel Thompson
# [https://www.spinics.net/lists/linux-leds/msg12702.html]Re: [PATCH 3/4] backlight: add led-backlight driver, Jean-Jacques Hiblot
@ [https://www.spinics.net/lists/linux-leds/msg12705.html]Re: [PATCH 3/4] backlight: add led-backlight driver, Daniel Thompson
- [https://www.spinics.net/lists/linux-leds/msg12707.html]Re: [PATCH 3/4] backlight: add led-backlight driver, Jean-Jacques Hiblot
= [https://www.spinics.net/lists/linux-leds/msg12709.html]Re: [PATCH 3/4] backlight: add led-backlight driver, Daniel Thompson
* [https://www.spinics.net/lists/linux-leds/msg12710.html]Re: [PATCH 3/4] backlight: add led-backlight driver, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12718.html]Re: [PATCH 3/4] backlight: add led-backlight driver, Pavel Machek
o [https://www.spinics.net/lists/linux-leds/msg12723.html]Re: [PATCH 3/4] backlight: add led-backlight driver, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12686.html][PATCH 1/4] leds: of: create a child device if the LED node contains a "compatible" string, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12687.html][PATCH 2/4] devicetree: Update led binding, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12689.html]Re: [PATCH 2/4] devicetree: Update led binding, Dan Murphy
+ [https://www.spinics.net/lists/linux-leds/msg12720.html]Re: [PATCH 0/4] Add a generic driver for LED-based backlight, Pavel Machek
o [https://www.spinics.net/lists/linux-leds/msg12722.html]Re: [PATCH 0/4] Add a generic driver for LED-based backlight, Daniel Thompson
o [https://www.spinics.net/lists/linux-leds/msg12724.html]Re: [PATCH 0/4] Add a generic driver for LED-based backlight, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12727.html]Re: [PATCH 0/4] Add a generic driver for LED-based backlight, Sebastian Reichel
* [https://www.spinics.net/lists/linux-leds/msg12681.html][PATCH v2 0/2] fix vendor prefix for arcxcnn driver and bindings, Brian Dodge
